index,date,InitialInvestment,InvestmentUsingPattern,InvestmentWithoutPattern
0,2023-03-01,100.0,100.03168184515066,100.56307279335948
1,2023-03-02,100.0,100.10561662313809,99.40963751686135
2,2023-03-03,100.0,100.3604326337655,100.80825155791132
3,2023-03-06,100.0,100.06193316308784,100.22341186684653
4,2023-03-08,100.0,100.0,100.48540254447165
5,2023-03-09,100.0,100.0,98.93512566079883
6,2023-03-10,100.0,100.0,99.85553606438964
7,2023-03-13,100.0,100.0,98.63792123706368
8,2023-03-14,100.0,100.0,99.46446937889522
9,2023-03-15,100.0,100.0,98.87804409181862
10,2023-03-16,100.0,100.0,100.09120517339281
11,2023-03-17,100.0,100.0,100.06954265477624
12,2023-03-20,100.0,100.32900519142652,99.62997902335557
13,2023-03-21,100.0,100.15738200745588,100.27285409486295
14,2023-03-22,100.0,100.10682610049803,99.79799097072033
15,2023-03-23,100.0,100.0,99.83067600921777
16,2023-03-24,100.0,99.49725348730983,99.15906349187757
17,2023-03-27,100.0,100.0,99.8772395683072
18,2023-03-28,100.0,100.00880708089304,99.56023309407429
19,2023-03-29,100.0,100.0,100.81903482885971
20,2023-03-31,100.0,100.13683626422473,100.85965712492774
21,2023-04-03,100.0,100.0,99.83790405641513
22,2023-04-05,100.0,100.26230750245375,100.79610613983229
23,2023-04-06,100.0,100.0,100.38867675952515
24,2023-04-10,100.0,100.0,99.87609796483109
25,2023-04-11,100.0,100.0,100.09856084225747
26,2023-04-12,100.0,100.0,100.32855562218639
27,2023-04-13,100.0,100.0,100.11708681271165
28,2023-04-17,100.0,100.0,99.11045177181883
29,2023-04-18,100.0,100.0,99.40872198394742
30,2023-04-19,100.0,100.0,99.75557047245991
31,2023-04-20,100.0,100.0,99.91666005238513
32,2023-04-21,100.0,100.0,99.8818010459332
33,2023-04-24,100.0,100.0,100.22843363424077
34,2023-04-25,100.0,100.0,100.0022520557046
35,2023-04-26,100.0,100.0,100.28507426564532
36,2023-04-27,100.0,100.0,100.61808444347139
37,2023-04-28,100.0,100.0,100.54873429004368
38,2023-05-02,100.0,100.0,100.06206965042372
39,2023-05-03,100.0,99.97874548686637,99.82830769910235
40,2023-05-04,100.0,100.0,100.87163320612797
41,2023-05-05,100.0,99.55898505848003,99.73864759097658
42,2023-05-08,100.0,100.0,100.82309636546252
43,2023-05-09,100.0,99.88417452495166,99.75359769223203
44,2023-05-10,100.0,100.1220404508125,99.98634894286214
45,2023-05-11,100.0,100.09342078026779,99.70966019893451
46,2023-05-12,100.0,100.14966823996168,100.21041110883098
47,2023-05-15,100.0,100.0,100.24701051839492
48,2023-05-16,100.0,100.0,99.15583200188799
49,2023-05-17,100.0,100.0,99.43990448322309
50,2023-05-18,100.0,100.13205741626793,99.16418318523583
51,2023-05-19,100.0,100.26531178946615,100.10612471578646
52,2023-05-22,100.0,100.0,100.56150452445182
53,2023-05-23,100.0,100.0,99.84125601076082
